,Area,Branch,Address
78,강남구,수서역R,서울특별시 강남구 광평로 281 (수서동)
79,강남구,압구정R,서울특별시 강남구 언주로 861 (신사동)
80,강남구,삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동)
81,강남구,코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동)
82,강남구,압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동)
83,강남구,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동)
84,강남구,대치재경빌딩R,서울특별시 강남구 남부순환로 2947 (대치동)
85,강남구,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동)
86,강남구,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동)
87,강남구,논현역사거리,서울특별시 강남구 강남대로 538 (논현동)
88,강남구,역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동)
89,강동구,천호대로길동,서울특별시 강동구 천호대로 1131 거산 유팰리스
90,강동구,올림픽공원북2문,서울특별시 강동구 강동대로 199 (성내동)
91,강동구,강일역,"서울특별시 강동구 고덕로 429 (강일동), 1층"
92,강동구,천호사거리,서울특별시 강동구 올림픽로 651 (천호동)
93,강동구,상일동역,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)"
94,강동구,명일이마트,서울특별시 강동구 동남로75길 5 (명일동) 명일이마트별관주차장
95,강동구,천호역,"서울특별시 강동구 천호대로 1012, 태승빌딩 (성내동)"
96,강동구,상일동,"서울특별시 강동구 상일로10길 36, 1~2층 (상일동)"
97,강동구,길동역,서울특별시 강동구 양재대로 1487 (길동)
98,강동구,천호이마트,서울특별시 강동구 천호대로 1015-14 (천호동) 이마트별관
99,강동구,천호로데오,서울특별시 강동구 천호대로 1037 (천호동)
100,강동구,둔촌동,서울특별시 강동구 양재대로 1303 (성내동) 평원빌딩
101,강동구,강동역,"서울특별시 강동구 천호대로 1089 (천호동, 강동 헤르셔)"
102,강동구,굽은다리역,"서울특별시 강동구 양재대로 1568 (명일동, 원일타워)"
103,강동구,강동암사DT,서울특별시 강동구 고덕로 43 (암사동)
104,강동구,강동구청DT,서울특별시 강동구 성내로 32 (성내동)
105,강동구,명일역,서울특별시 강동구 양재대로 1647 (명일동)
106,강북구,파라스파라서울,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층
107,강북구,미아역,서울특별시 강북구 도봉로 196 (미아동)
108,강북구,수유역,서울특별시 강북구 도봉로 342 (번동)
109,강북구,미아사거리역,서울특별시 강북구 도봉로 32 (미아동)
110,강북구,강북구청사거리,서울특별시 강북구 도봉로 365 (수유동)
111,강북구,미아뉴타운,서울특별시 강북구 삼양로 161 (미아동)
112,강서구,강서구청사거리,서울특별시 강서구 화곡로 350 (화곡동)
113,강서구,마곡나루공원,서울특별시 강서구 마곡중앙5로 47 (마곡동)
114,강서구,강서NC,서울특별시 강서구 강서로56길 17 (등촌동)
115,강서구,김포공항DT,서울특별시 강서구 개화동로 517 (방화동)
116,강서구,마곡웰튼,"서울특별시 강서구 마곡중앙5로 22 (마곡동), 104/105/106호"
117,강서구,내발산,"서울특별시 강서구 강서로 323 (내발산동), 101/102호"
118,강서구,가양역사거리,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호"
119,강서구,등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)"
120,강서구,강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호"
121,강서구,화곡역8번출구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부"
122,강서구,까치산역,서울특별시 강서구 강서로13길 3 (화곡동)
123,강서구,발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트
124,강서구,염창역,서울특별시 강서구 공항대로 627 (염창동)
125,강서구,등촌,서울특별시 강서구 공항대로 329 (등촌동)
126,강서구,화곡동,서울특별시 강서구 화곡로 142(화곡동)
127,강서구,양천향교역,서울특별시 강서구 강서로 463 (마곡동)
