index,Area,Branch,Address,lat,lng
0,강남구,역삼이마트,서울특별시 강남구 역삼로 310 (역삼동),37.4992239,127.048424
1,강남구,삼성동,서울특별시 강남구 영동대로96길 12 (삼성동),37.5107008,127.0635676
2,강남구,강남논현,서울특별시 강남구 강남대로 512 (논현동),37.5135304,127.0315341
3,강남구,테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동),37.5037497,127.0448356
4,강남구,삼성역,서울특별시 강남구 테헤란로 620 (대치동),37.5091596,127.0655652
5,강남구,강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동),37.4999072,127.0373932
6,강남구,대치삼성프라자,서울특별시 강남구 영동대로 237 (대치동),37.5003097,127.0669613
7,강남구,강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동),37.46525,127.1197385
8,강남구,도산사거리,서울특별시 강남구 언주로 727 (논현동),37.5135304,127.0315341
9,강남구,센터필드R,서울특별시 강남구 테헤란로 231 (역삼동),37.5030426,127.041588
10,강남구,코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동),37.5101935,127.0585824
11,강남구,수서역사거리,서울특별시 강남구 광평로 280 (수서동),37.4872829,127.1031088
12,강남구,대치한티,서울특별시 강남구 선릉로 324 (대치동),37.4994914,127.0610527
13,강남구,도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",37.5172519,127.0233424
14,강남구,논현힐탑,서울특별시 강남구 논현로 648 (논현동),37.5115577,127.032262
15,강남구,선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",37.5049219,127.0467242
16,강남구,포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",37.5057344,127.0579281
17,강남구,르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),37.5025597,127.044093
18,강남구,압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",37.5265058,127.0405179
19,강남구,역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",37.5006707,127.0351734
20,강남구,강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",37.4964557,127.0296885
21,강남구,아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",37.5089909,127.0403621
22,강남구,신압구정,서울특별시 강남구 언주로174길 29 (신사동),37.5280809,127.0364236
23,강남구,청담공원,서울특별시 강남구 학동로 506 (삼성동),37.5186549,127.0514387
24,강남구,차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)",37.508004,127.0353584
25,강남구,역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),37.4921956,127.039393
26,강남구,코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),37.5153516,127.0601103
27,강남구,선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",37.5086154,127.0597808
28,강남구,압구정미소,서울특별시 강남구 논현로 841 (신사동),37.5240211,127.0278937
29,강남구,GS타워,서울특별시 강남구 논현로 508 (역삼동),37.5018592,127.0372776
30,강남구,삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),37.5139848,127.0565207
31,강남구,선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,37.5108656,127.0449904
32,강남구,학여울역,서울특별시 강남구 영동대로 215 (대치동),37.4979557,127.0685027
33,강남구,아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),37.4996847,127.0349215
34,강남구,포이,서울특별시 강남구 논현로 88 (개포동),37.4789643,127.0609282
35,강남구,대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호,37.4994914,127.0610527
36,강남구,강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",37.5135304,127.0315341
37,강남구,큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",37.5023634,127.0406629
38,강남구,구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),37.4958957,127.0388933
39,강남구,압구정로,서울특별시 강남구 압구정로42길 32 (신사동),37.5268082,127.0347226
40,강남구,압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",37.526735,127.0281047
41,강남구,선릉세화빌딩,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,37.5037306,127.0511864
42,강남구,삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",37.5069114,127.0555833
43,강남구,SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",37.4896405,127.0545117
44,강남구,대치,서울특별시 강남구 도곡로 511 (대치동),37.499591,127.0622226
45,강남구,학동역,서울특별시 강남구 논현로 704 (논현동),37.5145746,127.0307537
46,강남구,삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",37.5078813,127.0652928
47,강남구,삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),37.5097863,127.0579134
48,강남구,청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",37.5243631,127.0515599
49,강남구,강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",37.5031011,127.0255479
50,강남구,역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",37.4993385,127.0337927
51,강남구,역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",37.5018802,127.0392296
52,강남구,가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",37.5231593,127.021625
