index,Area,Branch,Address,lat,lng
18,강동구,암사3동점,"서울 강동구 고덕로 140 (암사동, 프라이어팰리스)",37.5534915,127.1390945
19,강동구,암사역점,"서울 강동구 올림픽로 782 (암사동, 501타워)",37.5508357,127.1281014
20,강동구,암사중앙점,"서울 강동구 암사길 50 (암사동, 제이빌더스)",37.5516267,127.1348226
21,강동구,올림픽북문점,서울 강동구 성안로 7 (성내동),37.5244902,127.1288855
22,강동구,천호로데오점,서울 강동구 천호대로 1027 (천호동),37.5381679,127.1262834
23,강동구,천호역점,서울 강동구 천호대로 1006 (성내동),37.5302922,127.1287651
24,강동구,천호중앙점,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합)",37.540115,127.1245713
25,강동구,천호초교사거리점,"서울 강동구 구천면로 304 (천호동, 일주빌딩)",37.5474982,127.1305473
26,강동구,천호현대점,서울 강동구 올림픽로 665 (천호동),37.5408846,127.1238516
0,강북구,4.19사거리점,서울 강북구 삼양로 501 (수유동),37.6478542,127.0142169
1,강북구,가오리역점,서울 강북구 삼각산로 108 (수유동),37.6405639,127.0161466
2,강북구,강북경찰서점,서울 강북구 오패산로 403 (번동),37.6368469,127.0269808
3,강북구,광산사거리점,"서울 강북구 노해로 91 (수유동, 진흥빌딩)",37.6439109,127.0219539
4,강북구,미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",37.6185566,127.034085
5,강북구,미아삼거리역점,서울 강북구 도봉로10길 28 (미아동),37.6138407,127.0310049
6,강북구,미아삼거리점,"서울 강북구 도봉로 45 (미아동, 숭인시장)",37.6130238,127.0289642
7,강북구,미아송천점,서울 강북구 삼양로 118 (미아동),37.6143905,127.0224052
8,강북구,미아역점,서울 강북구 도봉로 207 -3(미아동),37.6319203,127.0280953
9,강북구,미아중앙점,서울 강북구 도봉로 128 (미아동),37.6204284,127.0287354
10,강북구,번동점,"서울 강북구 오현로 194 (번동, 덕수빌딩)",37.6288338,127.0398506
11,강북구,북한산점,서울 강북구 4.19로 85 (수유동),37.6316183,127.0229579
12,강북구,삼각산점,서울 강북구 솔샘로40길 3 (미아동),37.6198769,127.0160092
13,강북구,삼양사거리점,"서울 강북구 솔샘로 254 (미아동, 삼양아케이트)",37.6193347,127.0207972
14,강북구,삼양시장점,"서울 강북구 삼양로 234 (미아동, 대건빌딩)",37.6284519,127.0214065
15,강북구,수유1동점,서울 강북구 삼양로 293 (수유동),37.6295659,127.0176488
16,강북구,수유사거리점,"서울 강북구 덕릉로 82 (수유동, 제네스타워)",37.6394155,127.0080195
17,강북구,수유역점,서울 강북구 도봉로 355 (수유동),37.6393061,127.0266927
18,강북구,우이역도선사점,서울 강북구 삼양로173길 21 (우이동),37.6626046,127.0113765
19,강북구,한신대점,서울 강북구 덕릉로 31 (수유동),37.6342771,127.0169716
0,강서구,가양역점,서울 강서구 양천로 500 (등촌동),37.558653,126.8532512
1,강서구,강서nc점,서울 강서구 강서로54길 11 (등촌동),37.5592805,126.8393255
2,강서구,강서가양동점,"서울 강서구 강서로 511 (가양동, 한림타운)",37.5709705,126.8414444
3,강서구,강서교차로점,"서울 강서구 공항대로 437 (등촌동, 주신기업(주))",37.555002,126.8559032
4,강서구,강서구청점,"서울 강서구 화곡로 292 (화곡동, 서광프리메라)",37.5501456,126.8485937
5,강서구,강서한강자이점,서울 강서구 양천로 401 (가양동),37.563694,126.8336021
6,강서구,개화산역점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",37.5724755,126.8070694
7,강서구,곰달래사거리점,서울 강서구 곰달래로 52 (화곡동),37.5299176,126.8385803
8,강서구,공항시장역점,"서울 강서구 방화동로 37 (방화동, 메디스타워)",37.5640044,126.8107915
9,강서구,까치산로점,서울 강서구 까치산로 182 (화곡동),37.5533329,126.853912
10,강서구,까치산역점,서울 강서구 강서로17길 6 (화곡동),37.5333847,126.8451896
11,강서구,내발산점,"서울 강서구 강서로 304 (내발산동, 영종빌딩)",37.5527284,126.8365671
12,강서구,등촌3동점,서울 강서구 공항대로41길 34 (등촌동),37.5592457,126.8457028
13,강서구,등촌동점,"서울 강서구 공항대로61길 20 (염창동, 우리프리머스)",37.5523447,126.8664448
14,강서구,등촌역점,서울 강서구 등촌로 217 (등촌동),37.549111,126.8632654
15,강서구,등촌중앙점,"서울 강서구 등촌로 67 (등촌동, 컴스웨이빌딩)",37.5360455,126.8631085
16,강서구,렘넌트문화센터점,"서울 강서구 화곡로63길 65 (등촌동, 예원교회)",37.5579326,126.8491762
17,강서구,마곡나루역점,"서울 강서구 마곡중앙5로 6 (마곡동, 마곡나루역보타닉푸르지오시티)",37.5673603,126.8275954
18,강서구,마곡대방디엠씨티점,"서울 강서구 양천로 344 (마곡동, 마곡센트럴대방디엠시티오피스텔)",37.5682963,126.8409671
19,강서구,마곡수명산점,"서울 강서구 수명로 68-27 (내발산동, 웨스트엔드문화센터)",37.5526355,126.826665
20,강서구,마곡엠밸리점,"서울 강서구 마곡서로 101 (마곡동, 동익드미라벨복합빌딩)",37.5619185,126.826919
21,강서구,마곡역점,"서울 강서구 공항대로 195 (마곡동, 힐스테이트에코동익)",37.5764888,126.8307466
22,강서구,마곡중앙점,"서울 강서구 마곡중앙6로 66 (마곡동, 퀸즈파크텐)",37.5739411,126.8375935
23,강서구,마곡퀸즈파크9점,"서울 강서구 공항대로 247 (마곡동, 퀸즈파크나인)",37.5594439,126.8342748
24,강서구,마곡파인스퀘어점,"서울 강서구 마곡중앙4로 22 (마곡동, 파인스퀘어)",37.5714215,126.8355464
25,강서구,마곡헤리움점,"서울 강서구 마곡중앙5로1길 25 (마곡동, 마곡헤리움2차)",37.569266,126.826403
26,강서구,발산역점,서울 강서구 공항대로 280 (내발산동),37.5482864,126.8194521
