index,Area,Branch,Address
10,강북구,번동점,"서울 강북구 오현로 194 (번동, 덕수빌딩)"
11,강북구,북한산점,서울 강북구 4.19로 85 (수유동)
12,강북구,삼각산점,서울 강북구 솔샘로40길 3 (미아동)
13,강북구,삼양사거리점,"서울 강북구 솔샘로 254 (미아동, 삼양아케이트)"
14,강북구,삼양시장점,"서울 강북구 삼양로 234 (미아동, 대건빌딩)"
15,강북구,수유1동점,서울 강북구 삼양로 293 (수유동)
16,강북구,수유사거리점,"서울 강북구 덕릉로 82 (수유동, 제네스타워)"
17,강북구,수유역점,서울 강북구 도봉로 355 (수유동)
18,강북구,우이역도선사점,서울 강북구 삼양로173길 21 (우이동)
19,강북구,한신대점,서울 강북구 덕릉로 31 (수유동)
0,강서구,가양역점,서울 강서구 양천로 500 (등촌동)
1,강서구,강서nc점,서울 강서구 강서로54길 11 (등촌동)
2,강서구,강서가양동점,"서울 강서구 강서로 511 (가양동, 한림타운)"
3,강서구,강서교차로점,"서울 강서구 공항대로 437 (등촌동, 주신기업(주))"
4,강서구,강서구청점,"서울 강서구 화곡로 292 (화곡동, 서광프리메라)"
5,강서구,강서한강자이점,서울 강서구 양천로 401 (가양동)
6,강서구,개화산역점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)"
7,강서구,곰달래사거리점,서울 강서구 곰달래로 52 (화곡동)
8,강서구,공항시장역점,"서울 강서구 방화동로 37 (방화동, 메디스타워)"
9,강서구,까치산로점,서울 강서구 까치산로 182 (화곡동)
10,강서구,까치산역점,서울 강서구 강서로17길 6 (화곡동)
11,강서구,내발산점,"서울 강서구 강서로 304 (내발산동, 영종빌딩)"
12,강서구,등촌3동점,서울 강서구 공항대로41길 34 (등촌동)
13,강서구,등촌동점,"서울 강서구 공항대로61길 20 (염창동, 우리프리머스)"
14,강서구,등촌역점,서울 강서구 등촌로 217 (등촌동)
15,강서구,등촌중앙점,"서울 강서구 등촌로 67 (등촌동, 컴스웨이빌딩)"
16,강서구,렘넌트문화센터점,"서울 강서구 화곡로63길 65 (등촌동, 예원교회)"
