index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area
237,'극동유화(주) 전당앞주유소','서울 서초구 남부순환로 2391 (서초동)','SOL','1685','1915','Y','Y','','Y','N','N',서초구
238,'(주)대농석유 남태령주유소','서울 서초구 과천대로 838 (방배동)','SKE','1685','1865','Y','Y','','N','N','N',서초구
239,'(주)한미석유 서초주유소','서울 서초구 반포대로 64 (서초동)','GSC','1685','1915','Y','N','','N','N','N',서초구
240,'대성산업(주)직영 강남주유소','서울 서초구 반포대로 284 (반포동)','GSC','1695','1899','Y','N','','N','N','N',서초구
241,'에너지플러스허브 삼방주유소','서울 서초구 사평대로 364 (서초동)','GSC','1695','1946','Y','Y','','N','N','Y',서초구
242,'반포그린주유소','서울 서초구 서초중앙로 239 (반포동)','GSC','1695','1946','Y','Y','','N','N','N',서초구
243,'서초꽃마을주유소','서울 서초구 반포대로 69 (서초동)','GSC','1695','1925','Y','N','','N','N','N',서초구
244,'지에스칼텍스(주)선천주유소','서울 서초구 동작대로 206 (방배동)','GSC','1696','1913','N','Y','','N','N','N',서초구
245,'대성석유(주)연일주유소','서울 서초구 남부순환로 2451','GSC','1696','1918','N','Y','','N','Y','N',서초구
246,'대성산업(주)직영 터미널(고속)주유소','서울 서초구 신반포로 222 (반포동)','GSC','1698','1946','N','Y','','N','N','Y',서초구
247,'에쓰오일(주)직영 오토테크주유소','서울특별시 서초구  효령로 356 (서초동)','SOL','1709','1939','Y','Y','','Y','N','N',서초구
248,'현대오일뱅크(주)직영 팔레스주유소','서울 서초구 사평대로 136 (반포동)','HDO','1710','1889','N','N','','N','N','N',서초구
249,'현대오일뱅크(주)직영 서초제일주유소','서울 서초구 사임당로 116 (서초동)','HDO','1710','1919','N','Y','','N','N','N',서초구
250,'한독주유소','서울 서초구 방배로 218 (방배동)','GSC','1710','1889','Y','N','','N','N','N',서초구
251,'신반포주유소','서울 서초구 사평대로 94 (반포동)','SKE','1710','1857','Y','Y','','N','N','Y',서초구
252,'현대오일뱅크(주)직영 방배현대주유소','서울 서초구 동작대로 182 (방배동)','HDO','1717','1889','N','Y','','Y','N','N',서초구
253,'헌릉로주유소','서울 서초구 헌릉로 177 (내곡동)','SOL','1719','1889','Y','N','','N','N','N',서초구
254,'태봉셀프주유소','서울 서초구 태봉로 117 (우면동)','SKE','1729','1907','Y','Y','','Y','N','N',서초구
255,'말죽거리주유소','서울 서초구 남부순환로 2650 (양재동)','GSC','1736','1896','N','N','','N','N','N',서초구
256,'대신석유(주)대우주유소','서울 서초구 양재대로 173 (양재동)','SKE','1749','1927','Y','Y','','N','Y','Y',서초구
257,'양재주유소','서울 서초구 바우뫼로 178','SKE','1750','1898','N','Y','','N','N','Y',서초구
258,'현대오일뱅크㈜직영 양재현대주유소','서울 서초구 마방로 6','HDO','1750','1898','N','Y','','N','N','N',서초구
259,'지에스칼텍스(주)남서울주유소','서울 서초구 나루터로 83 (잠원동)','GSC','1794','1956','N','Y','','N','Y','Y',서초구
