index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area,Lat,Lng
341,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),SKE,1639,1869,Y,N,N,Y,N,N,양천구,37.5254507,126.8497568
342,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,HDO,1639,1824,Y,Y,N,N,N,N,양천구,37.5106085,126.8711101
343,가로공원주유소,서울 양천구 가로공원로 165 (신월동),SKE,1639,1869,N,Y,N,N,N,Y,양천구,37.5369402,126.8342781
344,SK에너지(주) 신평,서울 양천구 목동남로 62,SKE,1644,1849,N,Y,N,Y,N,N,양천구,37.5093616,126.8662268
345,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),GSC,1659,1859,N,Y,N,N,N,N,양천구,37.5105184,126.8476876
346,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),HDO,1669,1919,N,Y,N,N,N,Y,양천구,37.5091516,126.8393172
347,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),HDO,1677,1895,Y,N,N,N,N,N,양천구,37.5463168,126.8639087
348,현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),HDO,1677,1895,Y,Y,N,Y,Y,Y,양천구,37.545811,126.8814261
349,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,HDO,1679,1885,Y,Y,N,Y,N,N,양천구,37.5190709,126.8710957
350,목동주유소,서울 양천구 목동중앙로 125 (목동),SKE,1687,1872,Y,Y,N,N,N,N,양천구,37.539599,126.8745724
351,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),GSC,1687,1872,Y,Y,N,N,N,N,양천구,37.532098,126.8755213
352,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),GSC,1687,1872,Y,Y,N,N,N,N,양천구,37.5451737,126.8821565
353,신양주유소,서울 양천구 지양로 67,SKE,1799,1949,N,Y,N,N,N,N,양천구,37.5214632,126.833821
354,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),GSC,1595,1817,Y,Y,N,Y,N,Y,영등포구,37.4985562,126.8957906
355,도림주유소,서울 영등포구 도림로 343 (도림동),RTO,1595,1827,Y,N,N,Y,N,N,영등포구,37.5076563,126.900191
356,(주)MS에너지,서울 영등포구 대림로 230,HDO,1595,1827,N,Y,N,N,N,N,영등포구,37.5013302,126.8974032
357,영등포제일셀프주유소,서울 영등포구 가마산로 379,HDO,1595,1817,Y,Y,N,Y,N,N,영등포구,37.5023621,126.8994521
358,남서울고속주유소,서울 영등포구 가마산로 367 (대림동),SKE,1595,1817,Y,Y,N,N,N,N,영등포구,37.5015666,126.8987908
359,성락주유소,서울 영등포구 가마산로 414 (신길동),SOL,1595,1817,Y,Y,N,N,N,N,영등포구,37.5037504,126.9028235
360,(주)강서오일,서울 영등포구 도신로 151,HDO,1609,1816,N,N,N,N,N,Y,영등포구,37.5099691,126.9082307
361,행촌주유소,서울 영등포구 도신로 130 (신길동),SKE,1609,1817,Y,Y,N,N,Y,Y,영등포구,37.5085141,126.9061074
362,매봉주유소,서울 영등포구 도신로 248 (신길동),HDO,1619,1869,Y,Y,N,Y,N,N,영등포구,37.5130271,126.9183121
363,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),SKE,1619,1838,Y,Y,N,N,N,N,영등포구,37.4983597,126.9197576
364,현대오일뱅크㈜직영 대일셀프주유소,서울 영등포구 영등포로 168,HDO,1622,1877,Y,N,N,N,N,N,영등포구,37.5204486,126.9000304
365,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),GSC,1622,1832,Y,Y,N,N,N,Y,영등포구,37.4990184,126.9087781
366,영등포현대셀프주유소,서울 영등포구 경인로 822 (영등포동),HDO,1627,1827,Y,N,N,N,Y,N,영등포구,37.5152891,126.9044679
